coo: 55.68174362546_12.603550496497;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00
09-11-2022;--;--;--;--;--;--;2.49;125.37;8.77;138.34;13.57;152.13;16.54;166.67;17.39;181.65;16.04;196.56;12.62;210.95;7.44;224.54;0.87;237.33;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
10-11-2022;--;--;--;--;--;--;2.23;125.49;8.50;138.43;13.30;152.19;16.25;166.69;17.10;181.62;15.76;196.49;12.36;210.84;7.19;224.40;0.63;237.17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
11-11-2022;--;--;--;--;--;--;1.97;125.60;8.23;138.52;13.02;152.24;15.98;166.70;16.83;181.59;15.49;196.42;12.10;210.73;6.95;224.26;0.41;237.01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
12-11-2022;--;--;--;--;--;--;1.72;125.71;7.97;138.60;12.75;152.29;15.70;166.71;16.56;181.55;15.23;196.34;11.85;210.62;6.71;224.12;0.19;236.85;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
13-11-2022;--;--;--;--;--;--;1.47;125.81;7.71;138.68;12.49;152.33;15.43;166.72;16.29;181.52;14.97;196.26;11.61;210.50;6.48;223.98;-0.03;236.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
14-11-2022;--;--;--;--;--;--;1.22;125.90;7.46;138.75;12.22;152.37;15.17;166.72;16.03;181.48;14.72;196.18;11.37;210.39;6.26;223.84;-0.24;236.53;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
15-11-2022;--;--;--;--;--;--;0.98;126.00;7.20;138.82;11.97;152.41;14.91;166.71;15.77;181.43;14.47;196.10;11.13;210.27;6.04;223.70;-0.44;236.37;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
16-11-2022;--;--;--;--;--;--;0.74;126.08;6.96;138.88;11.71;152.44;14.65;166.71;15.52;181.38;14.23;196.01;10.91;210.15;5.83;223.56;-0.64;236.21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
17-11-2022;--;--;--;--;--;--;0.50;126.16;6.71;138.93;11.46;152.46;14.40;166.70;15.28;181.33;14.00;195.93;10.69;210.04;5.62;223.41;-0.83;236.05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
18-11-2022;--;--;--;--;--;--;0.26;126.23;6.47;138.98;11.22;152.48;14.16;166.68;15.04;181.28;13.77;195.84;10.47;209.92;5.43;223.27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
19-11-2022;--;--;--;--;--;--;0.03;126.30;6.24;139.03;10.98;152.50;13.92;166.66;14.80;181.22;13.55;195.74;10.26;209.80;5.23;223.13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
20-11-2022;--;--;--;--;--;--;-0.19;126.37;6.00;139.07;10.75;152.51;13.69;166.64;14.58;181.16;13.33;195.65;10.06;209.67;5.05;222.98;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
21-11-2022;--;--;--;--;--;--;-0.42;126.42;5.78;139.11;10.52;152.52;13.46;166.61;14.35;181.10;13.12;195.56;9.87;209.55;4.87;222.84;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
22-11-2022;--;--;--;--;--;--;-0.64;126.48;5.55;139.14;10.29;152.52;13.24;166.58;14.14;181.04;12.92;195.46;9.68;209.43;4.70;222.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
23-11-2022;--;--;--;--;--;--;--;--;5.33;139.16;10.07;152.52;13.02;166.55;13.93;180.97;12.72;195.36;9.50;209.30;4.53;222.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
24-11-2022;--;--;--;--;--;--;--;--;5.12;139.18;9.86;152.51;12.81;166.51;13.73;180.90;12.53;195.26;9.32;209.18;4.38;222.41;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
25-11-2022;--;--;--;--;--;--;--;--;4.91;139.19;9.65;152.50;12.60;166.47;13.53;180.83;12.35;195.16;9.16;209.05;4.22;222.26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
26-11-2022;--;--;--;--;--;--;--;--;4.71;139.20;9.44;152.48;12.40;166.42;13.34;180.75;12.17;195.05;9.00;208.92;4.08;222.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
27-11-2022;--;--;--;--;--;--;--;--;4.51;139.21;9.24;152.46;12.21;166.37;13.15;180.67;12.00;194.95;8.84;208.80;3.94;221.97;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
28-11-2022;--;--;--;--;--;--;--;--;4.31;139.21;9.05;152.44;12.02;166.32;12.98;180.59;11.83;194.84;8.70;208.67;3.81;221.83;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
29-11-2022;--;--;--;--;--;--;--;--;4.12;139.20;8.86;152.41;11.84;166.26;12.81;180.51;11.68;194.73;8.56;208.54;3.69;221.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
30-11-2022;--;--;--;--;--;--;--;--;3.94;139.19;8.68;152.37;11.66;166.20;12.64;180.42;11.53;194.62;8.42;208.41;3.57;221.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
01-12-2022;--;--;--;--;--;--;--;--;3.76;139.18;8.51;152.34;11.50;166.14;12.49;180.33;11.39;194.51;8.30;208.28;3.46;221.40;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
02-12-2022;--;--;--;--;--;--;--;--;3.58;139.15;8.34;152.29;11.33;166.07;12.33;180.24;11.25;194.40;8.18;208.15;3.36;221.26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
03-12-2022;--;--;--;--;--;--;--;--;3.42;139.13;8.17;152.25;11.18;166.00;12.19;180.15;11.12;194.29;8.07;208.02;3.27;221.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
04-12-2022;--;--;--;--;--;--;--;--;3.25;139.10;8.01;152.20;11.03;165.93;12.06;180.05;11.00;194.17;7.96;207.90;3.18;220.98;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
05-12-2022;--;--;--;--;--;--;--;--;3.10;139.07;7.86;152.14;10.89;165.86;11.93;179.96;10.89;194.06;7.87;207.77;3.10;220.84;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
06-12-2022;--;--;--;--;--;--;--;--;2.94;139.03;7.72;152.09;10.75;165.78;11.80;179.86;10.78;193.94;7.78;207.64;3.03;220.71;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
07-12-2022;--;--;--;--;--;--;--;--;2.80;138.98;7.58;152.02;10.62;165.70;11.69;179.76;10.69;193.82;7.70;207.51;2.96;220.57;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
08-12-2022;--;--;--;--;--;--;--;--;2.66;138.93;7.45;151.96;10.50;165.61;11.58;179.65;10.59;193.71;7.62;207.38;2.91;220.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
09-12-2022;--;--;--;--;--;--;--;--;2.53;138.88;7.32;151.89;10.39;165.52;11.48;179.55;10.51;193.59;7.56;207.26;2.86;220.30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
10-12-2022;--;--;--;--;--;--;--;--;2.40;138.82;7.20;151.82;10.28;165.43;11.39;179.45;10.43;193.47;7.50;207.13;2.81;220.17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
11-12-2022;--;--;--;--;--;--;--;--;2.28;138.76;7.09;151.74;10.18;165.34;11.30;179.34;10.37;193.35;7.45;207.00;2.78;220.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
12-12-2022;--;--;--;--;--;--;--;--;2.17;138.70;6.99;151.66;10.09;165.25;11.23;179.23;10.30;193.24;7.40;206.88;2.75;219.91;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
13-12-2022;--;--;--;--;--;--;--;--;2.06;138.63;6.89;151.58;10.00;165.15;11.16;179.12;10.25;193.12;7.37;206.76;2.73;219.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
14-12-2022;--;--;--;--;--;--;--;--;1.96;138.55;6.80;151.49;9.92;165.05;11.09;179.01;10.21;193.00;7.34;206.63;2.72;219.66;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
15-12-2022;--;--;--;--;--;--;--;--;1.86;138.47;6.71;151.40;9.85;164.95;11.04;178.90;10.17;192.88;7.32;206.51;2.71;219.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
16-12-2022;--;--;--;--;--;--;--;--;1.77;138.39;6.63;151.31;9.79;164.85;10.99;178.79;10.14;192.76;7.30;206.39;2.71;219.42;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
17-12-2022;--;--;--;--;--;--;--;--;1.69;138.31;6.56;151.21;9.73;164.74;10.95;178.67;10.11;192.64;7.30;206.27;2.72;219.30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
18-12-2022;--;--;--;--;--;--;--;--;1.62;138.22;6.50;151.11;9.68;164.63;10.92;178.56;10.10;192.53;7.30;206.15;2.74;219.19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
19-12-2022;--;--;--;--;--;--;--;--;1.55;138.12;6.44;151.01;9.64;164.52;10.89;178.44;10.09;192.41;7.31;206.04;2.76;219.07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
20-12-2022;--;--;--;--;--;--;--;--;1.49;138.03;6.40;150.91;9.61;164.41;10.87;178.33;10.09;192.29;7.32;205.92;2.79;218.96;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
21-12-2022;--;--;--;--;--;--;--;--;1.43;137.93;6.35;150.80;9.58;164.30;10.87;178.21;10.10;192.18;7.35;205.81;2.83;218.85;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
22-12-2022;--;--;--;--;--;--;--;--;1.38;137.82;6.32;150.69;9.56;164.19;10.86;178.10;10.12;192.06;7.38;205.70;2.88;218.75;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
23-12-2022;--;--;--;--;--;--;--;--;1.34;137.71;6.29;150.58;9.55;164.07;10.87;177.98;10.14;191.95;7.42;205.59;2.93;218.65;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
24-12-2022;--;--;--;--;--;--;--;--;1.31;137.60;6.27;150.46;9.55;163.95;10.88;177.86;10.17;191.84;7.47;205.49;2.99;218.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
25-12-2022;--;--;--;--;--;--;--;--;1.28;137.49;6.26;150.35;9.55;163.84;10.90;177.75;10.21;191.73;7.52;205.38;3.05;218.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
26-12-2022;--;--;--;--;--;--;--;--;1.26;137.37;6.26;150.23;9.56;163.72;10.93;177.63;10.25;191.61;7.58;205.28;3.13;218.36;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
27-12-2022;--;--;--;--;--;--;--;--;1.25;137.26;6.26;150.11;9.58;163.60;10.97;177.52;10.31;191.51;7.65;205.18;3.21;218.27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
28-12-2022;--;--;--;--;--;--;--;--;1.25;137.13;6.27;149.99;9.61;163.48;11.01;177.40;10.37;191.40;7.73;205.08;3.30;218.19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
29-12-2022;--;--;--;--;--;--;--;--;1.25;137.01;6.29;149.86;9.64;163.35;11.07;177.28;10.44;191.29;7.81;204.99;3.39;218.10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
30-12-2022;--;--;--;--;--;--;--;--;1.26;136.88;6.31;149.74;9.68;163.23;11.13;177.17;10.51;191.19;7.90;204.90;3.49;218.02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
31-12-2022;--;--;--;--;--;--;--;--;1.28;136.75;6.34;149.61;9.73;163.11;11.19;177.05;10.60;191.08;8.00;204.81;3.60;217.95;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
01-01-2023;--;--;--;--;--;--;--;--;1.31;136.59;6.39;149.45;9.81;162.96;11.29;176.91;10.71;190.96;8.13;204.70;3.74;217.86;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
